                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |    2380525 |  219968561 |  219971040 |  263976654
  Cycles                             |  253867320 |  253867320 |  253867320 |  253867320
  IPC                                |       0.01 |       0.87 |       0.87 |       1.04
  Time (ns)                          |   70518700 |   70518700 |   70518700 |   70518700
  Idle time (ns)                     |   69531828 |   13120847 |   13273062 |    1082405
  Idle time (%)                      |      98.6% |      18.6% |      18.8% |       1.5%
Branch predictor stats               |            |            |            |           
  num correct                        |     323501 |   23523643 |   23523920 |   28232245
  num incorrect                      |      16379 |     708557 |     708600 |     850487
  misprediction rate                 |      4.82% |      2.92% |      2.92% |      2.92%
  mpki                               |       6.88 |       3.22 |       3.22 |       3.22
TLB Summary                          |            |            |            |           
  I-TLB                              |            |            |            |           
    num accesses                     |     202886 |   35371887 |   35372131 |   42446758
    num misses                       |        199 |         39 |         39 |         33
    miss rate                        |      0.10% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.08 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |           
    num accesses                     |     757550 |   83532837 |   83533890 |  100245010
    num misses                       |       1999 |     489422 |      24040 |      24009
    miss rate                        |      0.26% |      0.59% |      0.03% |      0.02%
    mpki                             |       0.84 |       2.22 |       0.11 |       0.09
  L2 TLB                             |            |            |            |           
    num accesses                     |       2198 |     489461 |      24079 |      24042
    num misses                       |        528 |        113 |        118 |         90
    miss rate                        |     24.02% |      0.02% |      0.49% |      0.37%
    mpki                             |       0.22 |       0.00 |       0.00 |       0.00
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |     202886 |   35371887 |   35372131 |   42446758
    num cache misses                 |      27397 |     508922 |     509021 |     612370
    miss rate                        |     13.50% |      1.44% |      1.44% |      1.44%
    mpki                             |      11.51 |       2.31 |       2.31 |       2.32
  Cache L1-D                         |            |            |            |           
    num cache accesses               |     757550 |   83532837 |   83533890 |  100245010
    num cache misses                 |      20890 |    1330907 |    1331973 |    1642563
    miss rate                        |      2.76% |      1.59% |      1.59% |      1.64%
    mpki                             |       8.78 |       6.05 |       6.06 |       6.22
  Cache L2                           |            |            |            |           
    num cache accesses               |      48970 |    1850301 |    1850221 |    2266575
    num cache misses                 |      19677 |     147674 |     144398 |     189889
    miss rate                        |     40.18% |      7.98% |      7.80% |      8.38%
    mpki                             |       8.27 |       0.67 |       0.66 |       0.72
DRAM summary                         |            |            |            |           
  num dram accesses                  |     184291 |     147441 |     215266 |     173272
  average dram access latency (ns)   |      30.59 |      30.83 |      31.67 |      30.56
  average dram queueing delay        |       2.16 |       2.40 |       3.24 |       2.13
  average dram bandwidth utilization |      2.00% |      1.00% |      2.00% |      2.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |      13804 |      43627 |      44372 |      59002
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |         10 |       3025 |       1145 |       1814
