                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |    2380547 |  219971852 |  219967808 |  263976645
  Cycles                             |  150306840 |  150306840 |  150306840 |  150306840
  IPC                                |       0.02 |       1.46 |       1.46 |       1.76
  Time (ns)                          |   41751900 |   41751900 |   41751900 |   41751900
  Idle time (ns)                     |   40859601 |    7577017 |    7571881 |     889655
  Idle time (%)                      |      97.9% |      18.1% |      18.1% |       2.1%
Branch predictor stats               |            |            |            |           
  num correct                        |     323450 |   23525690 |   23525240 |   28233953
  num incorrect                      |      16434 |     706933 |     706864 |     848778
  misprediction rate                 |      4.84% |      2.92% |      2.92% |      2.92%
  mpki                               |       6.90 |       3.21 |       3.21 |       3.22
TLB Summary                          |            |            |            |           
  I-TLB                              |            |            |            |           
    num accesses                     |     202888 |   35372217 |   35371812 |   42446754
    num misses                       |        199 |         42 |         34 |         33
    miss rate                        |      0.10% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.08 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |           
    num accesses                     |     757544 |   83534240 |   83532500 |  100245009
    num misses                       |       2481 |       1346 |       2875 |       1937
    miss rate                        |      0.33% |      0.00% |      0.00% |      0.00%
    mpki                             |       1.04 |       0.01 |       0.01 |       0.01
  L2 TLB                             |            |            |            |           
    num accesses                     |       2680 |       1388 |       2909 |       1970
    num misses                       |        536 |        119 |         85 |         90
    miss rate                        |     20.00% |      8.57% |      2.92% |      4.57%
    mpki                             |       0.23 |       0.00 |       0.00 |       0.00
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |     202888 |   35372217 |   35371812 |   42446754
    num cache misses                 |      27395 |     509046 |     508874 |     612368
    miss rate                        |     13.50% |      1.44% |      1.44% |      1.44%
    mpki                             |      11.51 |       2.31 |       2.31 |       2.32
  Cache L1-D                         |            |            |            |           
    num cache accesses               |     757544 |   83534240 |   83532500 |  100245009
    num cache misses                 |      20924 |    1327115 |    1328334 |    1636969
    miss rate                        |      2.76% |      1.59% |      1.59% |      1.63%
    mpki                             |       8.79 |       6.03 |       6.04 |       6.20
  Cache L2                           |            |            |            |           
    num cache accesses               |      48760 |    1836253 |    1837298 |    2249453
    num cache misses                 |      19744 |     150061 |     153519 |     169424
    miss rate                        |     40.49% |      8.17% |      8.36% |      7.53%
    mpki                             |       8.29 |       0.68 |       0.70 |       0.64
  Cache L3                           |            |            |            |           
    num cache accesses               |      20187 |     150157 |     153613 |     169544
    num cache misses                 |      13182 |       2220 |       1945 |       2319
    miss rate                        |     65.30% |      1.48% |      1.27% |      1.37%
    mpki                             |       5.54 |       0.01 |       0.01 |       0.01
DRAM summary                         |            |            |            |           
  num dram accesses                  |      21662 |          0 |          0 |          0
  average dram access latency (ns)   |     259.05 |        inf |        inf |        inf
  average dram queueing delay        |     230.62 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |       9040 |        221 |        146 |        190
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
