                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |    2380486 |  219971845 |  219967778 |  263976645
  Cycles                             |  571645800 |  571645800 |  571645800 |  571645800
  IPC                                |       0.00 |       0.38 |       0.38 |       0.46
  Time (ns)                          |  158790500 |  158790500 |  158790500 |  158790500
  Idle time (ns)                     |  157900913 |   27613331 |   27533027 |     887253
  Idle time (%)                      |      99.4% |      17.4% |      17.3% |       0.6%
Branch predictor stats               |            |            |            |           
  num correct                        |     323480 |   23529948 |   23529494 |   28240750
  num incorrect                      |      16397 |     702675 |     702607 |     841981
  misprediction rate                 |      4.82% |      2.90% |      2.90% |      2.90%
  mpki                               |       6.89 |       3.19 |       3.19 |       3.19
TLB Summary                          |            |            |            |           
  I-TLB                              |            |            |            |           
    num accesses                     |     202880 |   35372216 |   35371808 |   42446754
    num misses                       |        202 |         39 |         33 |         33
    miss rate                        |      0.10% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.08 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |           
    num accesses                     |     757587 |   83534240 |   83532493 |  100245009
    num misses                       |       2282 |         92 |         51 |         57
    miss rate                        |      0.30% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.96 |       0.00 |       0.00 |       0.00
  L2 TLB                             |            |            |            |           
    num accesses                     |       2484 |        131 |         84 |         90
    num misses                       |        534 |        119 |         84 |         90
    miss rate                        |     21.50% |     90.84% |    100.00% |    100.00%
    mpki                             |       0.22 |       0.00 |       0.00 |       0.00
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |     202880 |   35372216 |   35371808 |   42446754
    num cache misses                 |      27403 |     509046 |     508871 |     612369
    miss rate                        |     13.51% |      1.44% |      1.44% |      1.44%
    mpki                             |      11.51 |       2.31 |       2.31 |       2.32
  Cache L1-D                         |            |            |            |           
    num cache accesses               |     757587 |   83534240 |   83532493 |  100245009
    num cache misses                 |      20908 |    1327740 |    1327841 |    1636345
    miss rate                        |      2.76% |      1.59% |      1.59% |      1.63%
    mpki                             |       8.78 |       6.04 |       6.04 |       6.20
  Cache L2                           |            |            |            |           
    num cache accesses               |      48752 |    1836878 |    1836802 |    2248830
    num cache misses                 |      19735 |     150370 |     143512 |     173926
    miss rate                        |     40.48% |      8.19% |      7.81% |      7.73%
    mpki                             |       8.29 |       0.68 |       0.65 |       0.66
  Cache L3                           |            |            |            |           
    num cache accesses               |      20177 |     150466 |     143606 |     174046
    num cache misses                 |      13187 |       2087 |       1947 |       2451
    miss rate                        |     65.36% |      1.39% |      1.36% |      1.41%
    mpki                             |       5.54 |       0.01 |       0.01 |       0.01
DRAM summary                         |            |            |            |           
  num dram accesses                  |      21623 |          0 |          0 |          0
  average dram access latency (ns)   |     216.70 |        inf |        inf |        inf
  average dram queueing delay        |     188.27 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |       9032 |        192 |        147 |        218
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
