                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |    2380547 |  219971845 |  219967765 |  263976645
  Cycles                             |  150502320 |  150502320 |  150502320 |  150502320
  IPC                                |       0.02 |       1.46 |       1.46 |       1.75
  Time (ns)                          |   41806200 |   41806200 |   41806200 |   41806200
  Idle time (ns)                     |   40947425 |    7638372 |    7634660 |     852646
  Idle time (%)                      |      97.9% |      18.3% |      18.3% |       2.0%
Branch predictor stats               |            |            |            |           
  num correct                        |     323448 |   23517908 |   23517451 |   28224908
  num incorrect                      |      16436 |     714715 |     714647 |     857823
  misprediction rate                 |      4.84% |      2.95% |      2.95% |      2.95%
  mpki                               |       6.90 |       3.25 |       3.25 |       3.25
TLB Summary                          |            |            |            |           
  I-TLB                              |            |            |            |           
    num accesses                     |     202888 |   35372216 |   35371806 |   42446754
    num misses                       |        198 |         39 |         33 |         33
    miss rate                        |      0.10% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.08 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |           
    num accesses                     |     757544 |   83534240 |   83532488 |  100245009
    num misses                       |       2788 |         95 |         51 |         58
    miss rate                        |      0.37% |      0.00% |      0.00% |      0.00%
    mpki                             |       1.17 |       0.00 |       0.00 |       0.00
  L2 TLB                             |            |            |            |           
    num accesses                     |       2986 |        134 |         84 |         91
    num misses                       |        542 |        119 |         84 |         90
    miss rate                        |     18.15% |     88.81% |    100.00% |     98.90%
    mpki                             |       0.23 |       0.00 |       0.00 |       0.00
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |     202888 |   35372216 |   35371806 |   42446754
    num cache misses                 |      27399 |     509046 |     508872 |     612368
    miss rate                        |     13.50% |      1.44% |      1.44% |      1.44%
    mpki                             |      11.51 |       2.31 |       2.31 |       2.32
  Cache L1-D                         |            |            |            |           
    num cache accesses               |     757544 |   83534240 |   83532488 |  100245009
    num cache misses                 |      20922 |    1329423 |    1329957 |    1638793
    miss rate                        |      2.76% |      1.59% |      1.59% |      1.63%
    mpki                             |       8.79 |       6.04 |       6.05 |       6.21
  Cache L2                           |            |            |            |           
    num cache accesses               |      48761 |    1838561 |    1838919 |    2251277
    num cache misses                 |      19774 |     199251 |     202275 |     234894
    miss rate                        |     40.55% |     10.84% |     11.00% |     10.43%
    mpki                             |       8.31 |       0.91 |       0.92 |       0.89
  Cache L3                           |            |            |            |           
    num cache accesses               |      20215 |     199347 |     202369 |     235014
    num cache misses                 |      13181 |       2082 |       1946 |       2482
    miss rate                        |     65.20% |      1.04% |      0.96% |      1.06%
    mpki                             |       5.54 |       0.01 |       0.01 |       0.01
DRAM summary                         |            |            |            |           
  num dram accesses                  |      21663 |          0 |          0 |          0
  average dram access latency (ns)   |     235.55 |        inf |        inf |        inf
  average dram queueing delay        |     212.12 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |       9038 |        194 |        148 |        222
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
