                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |    2380520 |  219969276 |  219971040 |  263976657
  Cycles                             |  149082120 |  149082120 |  149082120 |  149082120
  IPC                                |       0.02 |       1.48 |       1.48 |       1.77
  Time (ns)                          |   41411700 |   41411700 |   41411700 |   41411700
  Idle time (ns)                     |   40560488 |    7543600 |    7568023 |     853406
  Idle time (%)                      |      97.9% |      18.2% |      18.3% |       2.1%
Branch predictor stats               |            |            |            |           
  num correct                        |     323485 |   23525527 |   23525726 |   28234244
  num incorrect                      |      16396 |     706766 |     706794 |     848488
  misprediction rate                 |      4.82% |      2.92% |      2.92% |      2.92%
  mpki                               |       6.89 |       3.21 |       3.21 |       3.21
TLB Summary                          |            |            |            |           
  I-TLB                              |            |            |            |           
    num accesses                     |     202883 |   35371961 |   35372131 |   42446758
    num misses                       |        203 |         40 |         42 |         33
    miss rate                        |      0.10% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.09 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |           
    num accesses                     |     757549 |   83533178 |   83533890 |  100245010
    num misses                       |       3832 |       1329 |       2067 |         57
    miss rate                        |      0.51% |      0.00% |      0.00% |      0.00%
    mpki                             |       1.61 |       0.01 |       0.01 |       0.00
  L2 TLB                             |            |            |            |           
    num accesses                     |       4035 |       1369 |       2109 |         90
    num misses                       |        555 |        116 |        118 |         90
    miss rate                        |     13.75% |      8.47% |      5.60% |    100.00%
    mpki                             |       0.23 |       0.00 |       0.00 |       0.00
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |     202883 |   35371961 |   35372131 |   42446758
    num cache misses                 |      27396 |     508936 |     509021 |     612370
    miss rate                        |     13.50% |      1.44% |      1.44% |      1.44%
    mpki                             |      11.51 |       2.31 |       2.31 |       2.32
  Cache L1-D                         |            |            |            |           
    num cache accesses               |     757549 |   83533178 |   83533890 |  100245010
    num cache misses                 |      20868 |    1327440 |    1328643 |    1637106
    miss rate                        |      2.75% |      1.59% |      1.59% |      1.63%
    mpki                             |       8.77 |       6.03 |       6.04 |       6.20
  Cache L2                           |            |            |            |           
    num cache accesses               |      48691 |    1836467 |    1837756 |    2249592
    num cache misses                 |      19688 |     115317 |     124976 |     147505
    miss rate                        |     40.43% |      6.28% |      6.80% |      6.56%
    mpki                             |       8.27 |       0.52 |       0.57 |       0.56
  Cache L3                           |            |            |            |           
    num cache accesses               |      20115 |     115412 |     125071 |     147625
    num cache misses                 |      13200 |       1969 |       2155 |       2377
    miss rate                        |     65.62% |      1.71% |      1.72% |      1.61%
    mpki                             |       5.55 |       0.01 |       0.01 |       0.01
DRAM summary                         |            |            |            |           
  num dram accesses                  |      21666 |          0 |          0 |          0
  average dram access latency (ns)   |     229.06 |        inf |        inf |        inf
  average dram queueing delay        |     205.63 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |       9038 |        157 |        200 |        207
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
