                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |    2380522 |  219971130 |  219968471 |  263976667
  Cycles                             |  156691800 |  156691800 |  156691800 |  156691800
  IPC                                |       0.02 |       1.40 |       1.40 |       1.68
  Time (ns)                          |   43525500 |   43525500 |   43525500 |   43525500
  Idle time (ns)                     |   42435630 |    8179764 |    8007914 |    1092856
  Idle time (%)                      |      97.5% |      18.8% |      18.4% |       2.5%
Branch predictor stats               |            |            |            |           
  num correct                        |     323452 |   23520247 |   23519951 |   28227025
  num incorrect                      |      16425 |     712283 |     712239 |     855710
  misprediction rate                 |      4.83% |      2.94% |      2.94% |      2.94%
  mpki                               |       6.90 |       3.24 |       3.24 |       3.24
TLB Summary                          |            |            |            |           
  I-TLB                              |            |            |            |           
    num accesses                     |     202885 |   35372142 |   35371876 |   42446760
    num misses                       |        204 |         39 |         39 |         33
    miss rate                        |      0.10% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.09 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |           
    num accesses                     |     757543 |   83533899 |   83532828 |  100245015
    num misses                       |       2363 |       1399 |         73 |         58
    miss rate                        |      0.31% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.99 |       0.01 |       0.00 |       0.00
  L2 TLB                             |            |            |            |           
    num accesses                     |       2567 |       1438 |        112 |         91
    num misses                       |        538 |        119 |        112 |         90
    miss rate                        |     20.96% |      8.28% |    100.00% |     98.90%
    mpki                             |       0.23 |       0.00 |       0.00 |       0.00
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |     202885 |   35372142 |   35371876 |   42446760
    num cache misses                 |      27409 |     509032 |     508911 |     612370
    miss rate                        |     13.51% |      1.44% |      1.44% |      1.44%
    mpki                             |      11.51 |       2.31 |       2.31 |       2.32
  Cache L1-D                         |            |            |            |           
    num cache accesses               |     757543 |   83533899 |   83532828 |  100245015
    num cache misses                 |      20897 |    1328282 |    1329171 |    1637844
    miss rate                        |      2.76% |      1.59% |      1.59% |      1.63%
    mpki                             |       8.78 |       6.04 |       6.04 |       6.20
  Cache L2                           |            |            |            |           
    num cache accesses               |      48970 |    1844909 |    1845653 |    2258158
    num cache misses                 |      19690 |      98245 |     111435 |     125236
    miss rate                        |     40.21% |      5.33% |      6.04% |      5.55%
    mpki                             |       8.27 |       0.45 |       0.51 |       0.47
DRAM summary                         |            |            |            |           
  num dram accesses                  |      60884 |     133046 |     181079 |     126087
  average dram access latency (ns)   |      41.84 |      39.47 |      40.07 |      39.88
  average dram queueing delay        |       4.41 |       2.04 |       2.64 |       2.45
  average dram bandwidth utilization |      1.00% |      2.00% |      3.00% |      2.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |      13800 |      31163 |      36041 |      38364
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |         12 |        817 |       1050 |        873
