                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |    2380509 |  219969308 |  219970334 |  263976645
  Cycles                             |  150147360 |  150147360 |  150147360 |  150147360
  IPC                                |       0.02 |       1.47 |       1.47 |       1.76
  Time (ns)                          |   41707600 |   41707600 |   41707600 |   41707600
  Idle time (ns)                     |   40755085 |    7705693 |    7716358 |     950332
  Idle time (%)                      |      97.7% |      18.5% |      18.5% |       2.3%
Branch predictor stats               |            |            |            |           
  num correct                        |     323447 |   23533072 |   23533184 |   28243596
  num incorrect                      |      16430 |     699226 |     699244 |     839135
  misprediction rate                 |      4.83% |      2.89% |      2.89% |      2.89%
  mpki                               |       6.90 |       3.18 |       3.18 |       3.18
TLB Summary                          |            |            |            |           
  I-TLB                              |            |            |            |           
    num accesses                     |     202883 |   35371967 |   35372061 |   42446754
    num misses                       |        203 |         41 |         40 |         33
    miss rate                        |      0.10% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.09 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |           
    num accesses                     |     757593 |   83533188 |   83533550 |  100245009
    num misses                       |       2756 |         77 |         82 |         61
    miss rate                        |      0.36% |      0.00% |      0.00% |      0.00%
    mpki                             |       1.16 |       0.00 |       0.00 |       0.00
  L2 TLB                             |            |            |            |           
    num accesses                     |       2959 |        118 |        122 |         94
    num misses                       |        550 |        117 |        117 |         90
    miss rate                        |     18.59% |     99.15% |     95.90% |     95.74%
    mpki                             |       0.23 |       0.00 |       0.00 |       0.00
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |     202883 |   35371967 |   35372061 |   42446754
    num cache misses                 |      27392 |     508938 |     508982 |     612368
    miss rate                        |     13.50% |      1.44% |      1.44% |      1.44%
    mpki                             |      11.51 |       2.31 |       2.31 |       2.32
  Cache L1-D                         |            |            |            |           
    num cache accesses               |     757593 |   83533188 |   83533550 |  100245009
    num cache misses                 |      20906 |    1328999 |    1329973 |    1639114
    miss rate                        |      2.76% |      1.59% |      1.59% |      1.64%
    mpki                             |       8.78 |       6.04 |       6.05 |       6.21
  Cache L2                           |            |            |            |           
    num cache accesses               |      48733 |    1838028 |    1839047 |    2251598
    num cache misses                 |      19769 |     188630 |     188317 |     249062
    miss rate                        |     40.57% |     10.26% |     10.24% |     11.06%
    mpki                             |       8.30 |       0.86 |       0.86 |       0.94
  Cache L3                           |            |            |            |           
    num cache accesses               |      20206 |     188725 |     188413 |     249182
    num cache misses                 |      13193 |       1995 |       2139 |       2372
    miss rate                        |     65.29% |      1.06% |      1.14% |      0.95%
    mpki                             |       5.54 |       0.01 |       0.01 |       0.01
DRAM summary                         |            |            |            |           
  num dram accesses                  |      21694 |          0 |          0 |          0
  average dram access latency (ns)   |     247.58 |        inf |        inf |        inf
  average dram queueing delay        |     210.15 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |       9034 |        161 |        207 |        195
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
