                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |    2380538 |  219971140 |  219968455 |  263976654
  Cycles                             |  162828000 |  162828000 |  162828000 |  162828000
  IPC                                |       0.01 |       1.35 |       1.35 |       1.62
  Time (ns)                          |   45230000 |   45230000 |   45230000 |   45230000
  Idle time (ns)                     |   43945498 |    8609080 |    7481804 |    1281418
  Idle time (%)                      |      97.2% |      19.0% |      16.5% |       2.8%
Branch predictor stats               |            |            |            |           
  num correct                        |     323407 |   23518679 |   23518346 |   28225276
  num incorrect                      |      16475 |     713852 |     713842 |     857456
  misprediction rate                 |      4.85% |      2.95% |      2.95% |      2.95%
  mpki                               |       6.92 |       3.25 |       3.25 |       3.25
TLB Summary                          |            |            |            |           
  I-TLB                              |            |            |            |           
    num accesses                     |     202888 |   35372142 |   35371871 |   42446758
    num misses                       |        200 |         42 |         40 |         33
    miss rate                        |      0.10% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.08 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |           
    num accesses                     |     757556 |   83533903 |   83532826 |  100245010
    num misses                       |       2692 |       2601 |       2906 |         73
    miss rate                        |      0.36% |      0.00% |      0.00% |      0.00%
    mpki                             |       1.13 |       0.01 |       0.01 |       0.00
  L2 TLB                             |            |            |            |           
    num accesses                     |       2892 |       2643 |       2946 |        106
    num misses                       |        536 |        119 |        112 |         90
    miss rate                        |     18.53% |      4.50% |      3.80% |     84.91%
    mpki                             |       0.23 |       0.00 |       0.00 |       0.00
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |     202888 |   35372142 |   35371871 |   42446758
    num cache misses                 |      27392 |     509032 |     508907 |     612370
    miss rate                        |     13.50% |      1.44% |      1.44% |      1.44%
    mpki                             |      11.51 |       2.31 |       2.31 |       2.32
  Cache L1-D                         |            |            |            |           
    num cache accesses               |     757556 |   83533903 |   83532826 |  100245010
    num cache misses                 |      20903 |    1328281 |    1329171 |    1637845
    miss rate                        |      2.76% |      1.59% |      1.59% |      1.63%
    mpki                             |       8.78 |       6.04 |       6.04 |       6.20
  Cache L2                           |            |            |            |           
    num cache accesses               |      48977 |    1844909 |    1845649 |    2258159
    num cache misses                 |      19724 |      98245 |     111432 |     125237
    miss rate                        |     40.27% |      5.33% |      6.04% |      5.55%
    mpki                             |       8.29 |       0.45 |       0.51 |       0.47
DRAM summary                         |            |            |            |           
  num dram accesses                  |     502523 |          0 |          0 |          0
  average dram access latency (ns)   |      65.05 |        inf |        inf |        inf
  average dram queueing delay        |      11.62 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      9.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |      13817 |      31271 |      36428 |      38439
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |         12 |        708 |        663 |        799
