                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |    2380529 |  219971130 |  219968471 |  263976667
  Cycles                             |  149438520 |  149438520 |  149438520 |  149438520
  IPC                                |       0.02 |       1.47 |       1.47 |       1.77
  Time (ns)                          |   41510700 |   41510700 |   41510700 |   41510700
  Idle time (ns)                     |   40463102 |    7728171 |    7719033 |    1048116
  Idle time (%)                      |      97.5% |      18.6% |      18.6% |       2.5%
Branch predictor stats               |            |            |            |           
  num correct                        |     323454 |   23521917 |   23521629 |   28229573
  num incorrect                      |      16424 |     710613 |     710561 |     853162
  misprediction rate                 |      4.83% |      2.93% |      2.93% |      2.93%
  mpki                               |       6.90 |       3.23 |       3.23 |       3.23
TLB Summary                          |            |            |            |           
  I-TLB                              |            |            |            |           
    num accesses                     |     202885 |   35372142 |   35371876 |   42446760
    num misses                       |        202 |         39 |         39 |         33
    miss rate                        |      0.10% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.08 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |           
    num accesses                     |     757598 |   83533899 |   83532828 |  100245015
    num misses                       |       2496 |       1407 |         73 |         58
    miss rate                        |      0.33% |      0.00% |      0.00% |      0.00%
    mpki                             |       1.05 |       0.01 |       0.00 |       0.00
  L2 TLB                             |            |            |            |           
    num accesses                     |       2698 |       1446 |        112 |         91
    num misses                       |        538 |        118 |        112 |         90
    miss rate                        |     19.94% |      8.16% |    100.00% |     98.90%
    mpki                             |       0.23 |       0.00 |       0.00 |       0.00
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |     202885 |   35372142 |   35371876 |   42446760
    num cache misses                 |      27393 |     509032 |     508911 |     612370
    miss rate                        |     13.50% |      1.44% |      1.44% |      1.44%
    mpki                             |      11.51 |       2.31 |       2.31 |       2.32
  Cache L1-D                         |            |            |            |           
    num cache accesses               |     757598 |   83533899 |   83532828 |  100245015
    num cache misses                 |      20897 |    1327651 |    1328542 |    1636901
    miss rate                        |      2.76% |      1.59% |      1.59% |      1.63%
    mpki                             |       8.78 |       6.04 |       6.04 |       6.20
  Cache L2                           |            |            |            |           
    num cache accesses               |      48666 |    1836774 |    1837544 |    2249387
    num cache misses                 |      19709 |      97909 |     111104 |     124587
    miss rate                        |     40.50% |      5.33% |      6.05% |      5.54%
    mpki                             |       8.28 |       0.45 |       0.51 |       0.47
  Cache L3                           |            |            |            |           
    num cache accesses               |      20086 |      98002 |     111197 |     124705
    num cache misses                 |      12505 |       2017 |       2152 |       2289
    miss rate                        |     62.26% |      2.06% |      1.94% |      1.84%
    mpki                             |       5.25 |       0.01 |       0.01 |       0.01
DRAM summary                         |            |            |            |           
  num dram accesses                  |      18946 |          0 |          0 |          0
  average dram access latency (ns)   |     264.23 |        inf |        inf |        inf
  average dram queueing delay        |     210.80 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |       8566 |        150 |        187 |        185
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
