                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |    2380509 |  219969283 |  219970377 |  263976654
  Cycles                             |  150846120 |  150846120 |  150846120 |  150846120
  IPC                                |       0.02 |       1.46 |       1.46 |       1.75
  Time (ns)                          |   41901700 |   41901700 |   41901700 |   41901700
  Idle time (ns)                     |   40852022 |    7732702 |    7742383 |    1049587
  Idle time (%)                      |      97.5% |      18.5% |      18.5% |       2.5%
Branch predictor stats               |            |            |            |           
  num correct                        |     323443 |   23523404 |   23523526 |   28231568
  num incorrect                      |      16434 |     708889 |     708908 |     851164
  misprediction rate                 |      4.84% |      2.93% |      2.93% |      2.93%
  mpki                               |       6.90 |       3.22 |       3.22 |       3.22
TLB Summary                          |            |            |            |           
  I-TLB                              |            |            |            |           
    num accesses                     |     202883 |   35371962 |   35372067 |   42446758
    num misses                       |        198 |         39 |         40 |         33
    miss rate                        |      0.10% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.08 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |           
    num accesses                     |     757545 |   83533178 |   83533562 |  100245010
    num misses                       |       2689 |         78 |       1023 |         66
    miss rate                        |      0.35% |      0.00% |      0.00% |      0.00%
    mpki                             |       1.13 |       0.00 |       0.00 |       0.00
  L2 TLB                             |            |            |            |           
    num accesses                     |       2887 |        117 |       1063 |         99
    num misses                       |        542 |        116 |        118 |         90
    miss rate                        |     18.77% |     99.15% |     11.10% |     90.91%
    mpki                             |       0.23 |       0.00 |       0.00 |       0.00
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |     202883 |   35371962 |   35372067 |   42446758
    num cache misses                 |      27395 |     508936 |     508984 |     612370
    miss rate                        |     13.50% |      1.44% |      1.44% |      1.44%
    mpki                             |      11.51 |       2.31 |       2.31 |       2.32
  Cache L1-D                         |            |            |            |           
    num cache accesses               |     757545 |   83533178 |   83533562 |  100245010
    num cache misses                 |      20896 |    1326991 |    1328460 |    1636969
    miss rate                        |      2.76% |      1.59% |      1.59% |      1.63%
    mpki                             |       8.78 |       6.03 |       6.04 |       6.20
  Cache L2                           |            |            |            |           
    num cache accesses               |      48671 |    1836018 |    1837534 |    2249455
    num cache misses                 |      19711 |     149894 |     153688 |     169428
    miss rate                        |     40.50% |      8.16% |      8.36% |      7.53%
    mpki                             |       8.28 |       0.68 |       0.70 |       0.64
  Cache L3                           |            |            |            |           
    num cache accesses               |      20091 |     149989 |     153782 |     169548
    num cache misses                 |      12506 |       2037 |       2115 |       2321
    miss rate                        |     62.25% |      1.36% |      1.38% |      1.37%
    mpki                             |       5.25 |       0.01 |       0.01 |       0.01
DRAM summary                         |            |            |            |           
  num dram accesses                  |      18949 |          0 |          0 |          0
  average dram access latency (ns)   |     240.22 |        inf |        inf |        inf
  average dram queueing delay        |     186.80 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |       8570 |        156 |        182 |        188
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
