                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
  Instructions                       |    2505049 |  175744106 |  175746569 |  175743301 |  175743301 |  175743285 |  175743310 |  175743301 |  175743285 |  175743318 |  175743296 |  175743280 |  175743296 |  175743280 |  175743296 |  351361877
  Cycles                             |  197906040 |  197906040 |  197906040 |  197906040 |  197906040 |  197906040 |  197906040 |  197906040 |  197906040 |  197906040 |  197906040 |  197906040 |  197906040 |  197906040 |  197906040 |  197906040
  IPC                                |       0.01 |       0.89 |       0.89 |       0.89 |       0.89 |       0.89 |       0.89 |       0.89 |       0.89 |       0.89 |       0.89 |       0.89 |       0.89 |       0.89 |       0.89 |       1.78
  Time (ns)                          |   54973900 |   54973900 |   54973900 |   54973900 |   54973900 |   54973900 |   54973900 |   54973900 |   54973900 |   54973900 |   54973900 |   54973900 |   54973900 |   54973900 |   54973900 |   54973900
  Idle time (ns)                     |   54175935 |   27580609 |   27653944 |   27619609 |   27621041 |   27620589 |   27634158 |   27623024 |   27620540 |   27622438 |   27607510 |   27588424 |   27617818 |   27614072 |   27622476 |     792257
  Idle time (%)                      |      98.5% |      50.2% |      50.3% |      50.2% |      50.2% |      50.2% |      50.3% |      50.2% |      50.2% |      50.2% |      50.2% |      50.2% |      50.2% |      50.2% |      50.2% |       1.4%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |     341875 |   18802830 |   18803116 |   18802750 |   18802750 |   18802750 |   18802750 |   18802750 |   18802750 |   18802752 |   18802750 |   18802750 |   18802750 |   18802750 |   18802750 |   37585332
  num incorrect                      |      17235 |     568546 |     568578 |     568523 |     568523 |     568521 |     568524 |     568523 |     568521 |     568523 |     568521 |     568519 |     568521 |     568519 |     568521 |    1132470
  misprediction rate                 |      4.80% |      2.93% |      2.94% |      2.93% |      2.93% |      2.93% |      2.93% |      2.93% |      2.93% |      2.93% |      2.93% |      2.93% |      2.93% |      2.93% |      2.93% |      2.92%
  mpki                               |       6.88 |       3.24 |       3.24 |       3.23 |       3.23 |       3.23 |       3.23 |       3.23 |       3.23 |       3.23 |       3.23 |       3.23 |       3.23 |       3.23 |       3.23 |       3.22
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |     221786 |   28254983 |   28255222 |   28254898 |   28254898 |   28254893 |   28254902 |   28254898 |   28254893 |   28254902 |   28254896 |   28254891 |   28254896 |   28254891 |   28254896 |   56496262
    num misses                       |        199 |         39 |         39 |         33 |         33 |         33 |         33 |         33 |         33 |         33 |         33 |         33 |         33 |         33 |         33 |         33
    miss rate                        |      0.09% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.08 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |     802237 |   66744742 |   66745793 |   66744392 |   66744392 |   66744391 |   66744393 |   66744392 |   66744390 |   66744397 |   66744390 |   66744388 |   66744390 |   66744389 |   66744390 |  133442331
    num misses                       |       2328 |       1308 |         73 |         35 |         35 |         35 |         36 |         35 |       1285 |         35 |         35 |         36 |       1910 |         35 |         35 |       2546
    miss rate                        |      0.29% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.93 |       0.01 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.01 |       0.00 |       0.00 |       0.00 |       0.01 |       0.00 |       0.00 |       0.01
  L2 TLB                             |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |       2527 |       1347 |        112 |         68 |         68 |         68 |         69 |         68 |       1318 |         68 |         68 |         69 |       1943 |         68 |         68 |       2579
    num misses                       |        567 |         97 |        102 |         68 |         68 |         68 |         69 |         68 |         68 |         68 |         68 |         69 |         68 |         68 |         68 |         79
    miss rate                        |     22.44% |      7.20% |     91.07% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |      5.16% |    100.00% |    100.00% |    100.00% |      3.50% |    100.00% |    100.00% |      3.06%
    mpki                             |       0.23 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |     221786 |   28254983 |   28255222 |   28254898 |   28254898 |   28254893 |   28254902 |   28254898 |   28254893 |   28254902 |   28254896 |   28254891 |   28254896 |   28254891 |   28254896 |   56496262
    num cache misses                 |      34307 |     415579 |     415674 |     415527 |     415527 |     415523 |     415529 |     415527 |     415523 |     415529 |     415526 |     415522 |     415526 |     415522 |     415526 |     820942
    miss rate                        |     15.47% |      1.47% |      1.47% |      1.47% |      1.47% |      1.47% |      1.47% |      1.47% |      1.47% |      1.47% |      1.47% |      1.47% |      1.47% |      1.47% |      1.47% |      1.45%
    mpki                             |      13.70 |       2.36 |       2.37 |       2.36 |       2.36 |       2.36 |       2.36 |       2.36 |       2.36 |       2.36 |       2.36 |       2.36 |       2.36 |       2.36 |       2.36 |       2.34
  Cache L1-D                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |     802237 |   66744742 |   66745793 |   66744392 |   66744392 |   66744391 |   66744393 |   66744392 |   66744390 |   66744397 |   66744390 |   66744388 |   66744390 |   66744389 |   66744390 |  133442331
    num cache misses                 |      21579 |    1095536 |    1096656 |    1132212 |    1102907 |    1116667 |    1097650 |    1097173 |    1130789 |    1100961 |    1118780 |    1097098 |    1120027 |    1133052 |    1097507 |    2165020
    miss rate                        |      2.69% |      1.64% |      1.64% |      1.70% |      1.65% |      1.67% |      1.64% |      1.64% |      1.69% |      1.65% |      1.68% |      1.64% |      1.68% |      1.70% |      1.64% |      1.62%
    mpki                             |       8.61 |       6.23 |       6.24 |       6.44 |       6.28 |       6.35 |       6.25 |       6.24 |       6.43 |       6.26 |       6.37 |       6.24 |       6.37 |       6.45 |       6.24 |       6.16
  Cache L2                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      56276 |    1511162 |    1512380 |    1547784 |    1518479 |    1532235 |    1513223 |    1512745 |    1546357 |    1516535 |    1534351 |    1512665 |    1535598 |    1548619 |    1513078 |    2986045
    num cache misses                 |      20345 |     177606 |     171892 |     159839 |     186092 |     188389 |     193532 |     159190 |     159842 |     157395 |     201603 |     207248 |     194747 |     192897 |     157991 |     261200
    miss rate                        |     36.15% |     11.75% |     11.37% |     10.33% |     12.26% |     12.30% |     12.79% |     10.52% |     10.34% |     10.38% |     13.14% |     13.70% |     12.68% |     12.46% |     10.44% |      8.75%
    mpki                             |       8.12 |       1.01 |       0.98 |       0.91 |       1.06 |       1.07 |       1.10 |       0.91 |       0.91 |       0.90 |       1.15 |       1.18 |       1.11 |       1.10 |       0.90 |       0.74
  Cache L3                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      20736 |     177658 |     171948 |     159890 |     186143 |     188440 |     193581 |     159241 |     159891 |     157444 |     201652 |     207297 |     194796 |     192945 |     158040 |     261289
    num cache misses                 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
DRAM summary                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num dram accesses                  |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num loads from dram                |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
