                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |    2380495 |  219971128 |  219971024 |  263976687
  Cycles                             |  154761120 |  154761120 |  154761120 |  154761120
  IPC                                |       0.02 |       1.42 |       1.42 |       1.71
  Time (ns)                          |   42989200 |   42989200 |   42989200 |   42989200
  Idle time (ns)                     |   42058656 |    8063141 |    8062688 |     933549
  Idle time (%)                      |      97.8% |      18.8% |      18.8% |       2.2%
Branch predictor stats               |            |            |            |           
  num correct                        |     323409 |   23520286 |   23520280 |   28227848
  num incorrect                      |      16465 |     712243 |     712238 |     854887
  misprediction rate                 |      4.84% |      2.94% |      2.94% |      2.94%
  mpki                               |       6.92 |       3.24 |       3.24 |       3.24
TLB Summary                          |            |            |            |           
  I-TLB                              |            |            |            |           
    num accesses                     |     202880 |   35372139 |   35372126 |   42446762
    num misses                       |        200 |         39 |         39 |         34
    miss rate                        |      0.10% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.08 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |           
    num accesses                     |     757591 |   83533898 |   83533888 |  100245017
    num misses                       |       2477 |         92 |         91 |       4443
    miss rate                        |      0.33% |      0.00% |      0.00% |      0.00%
    mpki                             |       1.04 |       0.00 |       0.00 |       0.02
  L2 TLB                             |            |            |            |           
    num accesses                     |       2677 |        131 |        130 |       4477
    num misses                       |        539 |        118 |        118 |         91
    miss rate                        |     20.13% |     90.08% |     90.77% |      2.03%
    mpki                             |       0.23 |       0.00 |       0.00 |       0.00
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |     202880 |   35372139 |   35372126 |   42446762
    num cache misses                 |      27389 |     509030 |     509017 |     612372
    miss rate                        |     13.50% |      1.44% |      1.44% |      1.44%
    mpki                             |      11.51 |       2.31 |       2.31 |       2.32
  Cache L1-D                         |            |            |            |           
    num cache accesses               |     757591 |   83533898 |   83533888 |  100245017
    num cache misses                 |      20872 |    1329113 |    1330054 |    1638984
    miss rate                        |      2.76% |      1.59% |      1.59% |      1.63%
    mpki                             |       8.77 |       6.04 |       6.05 |       6.21
  Cache L2                           |            |            |            |           
    num cache accesses               |      48920 |    1845453 |    1845440 |    2259614
    num cache misses                 |      19660 |     122412 |     115537 |     154550
    miss rate                        |     40.19% |      6.63% |      6.26% |      6.84%
    mpki                             |       8.26 |       0.56 |       0.53 |       0.59
DRAM summary                         |            |            |            |           
  num dram accesses                  |     111301 |     150447 |     149553 |     168163
  average dram access latency (ns)   |      26.73 |      26.63 |      27.30 |      26.33
  average dram queueing delay        |       3.30 |       3.21 |       3.87 |       2.90
  average dram bandwidth utilization |      2.00% |      2.00% |      2.00% |      3.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |      13784 |      32606 |      34699 |      49848
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          9 |       6259 |       2628 |        403
