                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |    2380514 |  219968552 |  219971024 |  263976654
  Cycles                             |  250300080 |  250300080 |  250300080 |  250300080
  IPC                                |       0.01 |       0.88 |       0.88 |       1.05
  Time (ns)                          |   69527800 |   69527800 |   69527800 |   69527800
  Idle time (ns)                     |   68542547 |   12917304 |   12926433 |    1079217
  Idle time (%)                      |      98.6% |      18.6% |      18.6% |       1.6%
Branch predictor stats               |            |            |            |           
  num correct                        |     323405 |   23518825 |   23519106 |   28226684
  num incorrect                      |      16475 |     713374 |     713412 |     856048
  misprediction rate                 |      4.85% |      2.94% |      2.94% |      2.94%
  mpki                               |       6.92 |       3.24 |       3.24 |       3.24
TLB Summary                          |            |            |            |           
  I-TLB                              |            |            |            |           
    num accesses                     |     202883 |   35371883 |   35372126 |   42446758
    num misses                       |        205 |         39 |         42 |         33
    miss rate                        |      0.10% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.09 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |           
    num accesses                     |     757537 |   83532836 |   83533888 |  100245010
    num misses                       |       2581 |         74 |         97 |         57
    miss rate                        |      0.34% |      0.00% |      0.00% |      0.00%
    mpki                             |       1.08 |       0.00 |       0.00 |       0.00
  L2 TLB                             |            |            |            |           
    num accesses                     |       2786 |        113 |        139 |         90
    num misses                       |        540 |        113 |        118 |         90
    miss rate                        |     19.38% |    100.00% |     84.89% |    100.00%
    mpki                             |       0.23 |       0.00 |       0.00 |       0.00
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |     202883 |   35371883 |   35372126 |   42446758
    num cache misses                 |      27391 |     508920 |     509017 |     612370
    miss rate                        |     13.50% |      1.44% |      1.44% |      1.44%
    mpki                             |      11.51 |       2.31 |       2.31 |       2.32
  Cache L1-D                         |            |            |            |           
    num cache accesses               |     757537 |   83532836 |   83533888 |  100245010
    num cache misses                 |      20910 |    1328987 |    1330051 |    1638982
    miss rate                        |      2.76% |      1.59% |      1.59% |      1.63%
    mpki                             |       8.78 |       6.04 |       6.05 |       6.21
  Cache L2                           |            |            |            |           
    num cache accesses               |      48988 |    1845212 |    1845435 |    2259610
    num cache misses                 |      19723 |     122243 |     115534 |     154548
    miss rate                        |     40.26% |      6.62% |      6.26% |      6.84%
    mpki                             |       8.29 |       0.56 |       0.53 |       0.59
DRAM summary                         |            |            |            |           
  num dram accesses                  |     112007 |     151357 |     152109 |     171090
  average dram access latency (ns)   |      31.24 |      30.82 |      31.55 |      30.72
  average dram queueing delay        |       2.81 |       2.39 |       3.12 |       2.29
  average dram bandwidth utilization |      1.00% |      1.00% |      1.00% |      2.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |      13821 |      34888 |      35664 |      49898
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |         10 |       3886 |       1661 |        354
