                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |    2380539 |  219971130 |  219968471 |  263976654
  Cycles                             |  154238400 |  154238400 |  154238400 |  154238400
  IPC                                |       0.02 |       1.43 |       1.43 |       1.71
  Time (ns)                          |   42844000 |   42844000 |   42844000 |   42844000
  Idle time (ns)                     |   41913918 |    7879181 |    7782291 |     933326
  Idle time (%)                      |      97.8% |      18.4% |      18.2% |       2.2%
Branch predictor stats               |            |            |            |           
  num correct                        |     323362 |   23516089 |   23515799 |   28222864
  num incorrect                      |      16520 |     716441 |     716391 |     859868
  misprediction rate                 |      4.86% |      2.96% |      2.96% |      2.96%
  mpki                               |       6.94 |       3.26 |       3.26 |       3.26
TLB Summary                          |            |            |            |           
  I-TLB                              |            |            |            |           
    num accesses                     |     202888 |   35372142 |   35371876 |   42446758
    num misses                       |        199 |         39 |         39 |         33
    miss rate                        |      0.10% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.08 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |           
    num accesses                     |     757549 |   83533899 |   83532828 |  100245010
    num misses                       |       2248 |        100 |         73 |         57
    miss rate                        |      0.30% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.94 |       0.00 |       0.00 |       0.00
  L2 TLB                             |            |            |            |           
    num accesses                     |       2447 |        139 |        112 |         90
    num misses                       |        538 |        118 |        112 |         90
    miss rate                        |     21.99% |     84.89% |    100.00% |    100.00%
    mpki                             |       0.23 |       0.00 |       0.00 |       0.00
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |     202888 |   35372142 |   35371876 |   42446758
    num cache misses                 |      27394 |     509032 |     508911 |     612370
    miss rate                        |     13.50% |      1.44% |      1.44% |      1.44%
    mpki                             |      11.51 |       2.31 |       2.31 |       2.32
  Cache L1-D                         |            |            |            |           
    num cache accesses               |     757549 |   83533899 |   83532828 |  100245010
    num cache misses                 |      20893 |    1329108 |    1330082 |    1638981
    miss rate                        |      2.76% |      1.59% |      1.59% |      1.63%
    mpki                             |       8.78 |       6.04 |       6.05 |       6.21
  Cache L2                           |            |            |            |           
    num cache accesses               |      48963 |    1845124 |    1846108 |    2258991
    num cache misses                 |      19707 |     117026 |     126370 |     149378
    miss rate                        |     40.25% |      6.34% |      6.85% |      6.61%
    mpki                             |       8.28 |       0.53 |       0.57 |       0.57
DRAM summary                         |            |            |            |           
  num dram accesses                  |     110194 |     152146 |     152203 |     173053
  average dram access latency (ns)   |      25.80 |      25.51 |      26.10 |      25.49
  average dram queueing delay        |       2.37 |       2.08 |       2.67 |       2.06
  average dram bandwidth utilization |      2.00% |      2.00% |      2.00% |      3.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |      13807 |      36215 |      41151 |      44644
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |         13 |       1685 |       1255 |       2090
