                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |    2380530 |  219971852 |  219968455 |  263976675
  Cycles                             |  148677840 |  148677840 |  148677840 |  148677840
  IPC                                |       0.02 |       1.48 |       1.48 |       1.78
  Time (ns)                          |   41299400 |   41299400 |   41299400 |   41299400
  Idle time (ns)                     |   40446351 |    7525792 |    7523188 |     856781
  Idle time (%)                      |      97.9% |      18.2% |      18.2% |       2.1%
Branch predictor stats               |            |            |            |           
  num correct                        |     323384 |   23520427 |   23520047 |   28227639
  num incorrect                      |      16494 |     712196 |     712141 |     855095
  misprediction rate                 |      4.85% |      2.94% |      2.94% |      2.94%
  mpki                               |       6.93 |       3.24 |       3.24 |       3.24
TLB Summary                          |            |            |            |           
  I-TLB                              |            |            |            |           
    num accesses                     |     202885 |   35372217 |   35371871 |   42446758
    num misses                       |        200 |         42 |         40 |         34
    miss rate                        |      0.10% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.08 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |           
    num accesses                     |     757550 |   83534240 |   83532826 |  100245016
    num misses                       |       2550 |       1978 |       6958 |       2871
    miss rate                        |      0.34% |      0.00% |      0.01% |      0.00%
    mpki                             |       1.07 |       0.01 |       0.03 |       0.01
  L2 TLB                             |            |            |            |           
    num accesses                     |       2750 |       2020 |       6998 |       2905
    num misses                       |        535 |        119 |        112 |         91
    miss rate                        |     19.45% |      5.89% |      1.60% |      3.13%
    mpki                             |       0.22 |       0.00 |       0.00 |       0.00
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |     202885 |   35372217 |   35371871 |   42446758
    num cache misses                 |      27390 |     509046 |     508907 |     612370
    miss rate                        |     13.50% |      1.44% |      1.44% |      1.44%
    mpki                             |      11.51 |       2.31 |       2.31 |       2.32
  Cache L1-D                         |            |            |            |           
    num cache accesses               |     757550 |   83534240 |   83532826 |  100245016
    num cache misses                 |      20870 |    1327669 |    1328545 |    1636903
    miss rate                        |      2.75% |      1.59% |      1.59% |      1.63%
    mpki                             |       8.77 |       6.04 |       6.04 |       6.20
  Cache L2                           |            |            |            |           
    num cache accesses               |      48693 |    1836809 |    1837542 |    2249390
    num cache misses                 |      19713 |      97929 |     111105 |     124592
    miss rate                        |     40.48% |      5.33% |      6.05% |      5.54%
    mpki                             |       8.28 |       0.45 |       0.51 |       0.47
  Cache L3                           |            |            |            |           
    num cache accesses               |      20147 |      98025 |     111197 |     124711
    num cache misses                 |      13189 |       2042 |       2075 |       2400
    miss rate                        |     65.46% |      2.08% |      1.87% |      1.92%
    mpki                             |       5.54 |       0.01 |       0.01 |       0.01
DRAM summary                         |            |            |            |           
  num dram accesses                  |      21626 |          0 |          0 |          0
  average dram access latency (ns)   |     172.79 |        inf |        inf |        inf
  average dram queueing delay        |     149.36 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |       9040 |        184 |        155 |        217
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
