                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |    2380546 |  219971858 |  219967765 |  263976648
  Cycles                             |  150787080 |  150787080 |  150787080 |  150787080
  IPC                                |       0.02 |       1.46 |       1.46 |       1.75
  Time (ns)                          |   41885300 |   41885300 |   41885300 |   41885300
  Idle time (ns)                     |   40923728 |    7736540 |    7730347 |     953371
  Idle time (%)                      |      97.7% |      18.5% |      18.5% |       2.3%
Branch predictor stats               |            |            |            |           
  num correct                        |     323509 |   23520907 |   23520399 |   28228330
  num incorrect                      |      16375 |     711719 |     711699 |     854401
  misprediction rate                 |      4.82% |      2.94% |      2.94% |      2.94%
  mpki                               |       6.88 |       3.24 |       3.24 |       3.24
TLB Summary                          |            |            |            |           
  I-TLB                              |            |            |            |           
    num accesses                     |     202888 |   35372218 |   35371806 |   42446754
    num misses                       |        199 |         39 |         33 |         33
    miss rate                        |      0.10% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.08 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |           
    num accesses                     |     757549 |   83534245 |   83532488 |  100245009
    num misses                       |       2495 |       1356 |       2028 |         57
    miss rate                        |      0.33% |      0.00% |      0.00% |      0.00%
    mpki                             |       1.05 |       0.01 |       0.01 |       0.00
  L2 TLB                             |            |            |            |           
    num accesses                     |       2694 |       1395 |       2061 |         90
    num misses                       |        531 |        119 |         84 |         90
    miss rate                        |     19.71% |      8.53% |      4.08% |    100.00%
    mpki                             |       0.22 |       0.00 |       0.00 |       0.00
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |     202888 |   35372218 |   35371806 |   42446754
    num cache misses                 |      27400 |     509046 |     508872 |     612368
    miss rate                        |     13.50% |      1.44% |      1.44% |      1.44%
    mpki                             |      11.51 |       2.31 |       2.31 |       2.32
  Cache L1-D                         |            |            |            |           
    num cache accesses               |     757549 |   83534245 |   83532488 |  100245009
    num cache misses                 |      20923 |    1329123 |    1329850 |    1639113
    miss rate                        |      2.76% |      1.59% |      1.59% |      1.64%
    mpki                             |       8.79 |       6.04 |       6.05 |       6.21
  Cache L2                           |            |            |            |           
    num cache accesses               |      48752 |    1838261 |    1838812 |    2251597
    num cache misses                 |      19790 |     188792 |     188154 |     249063
    miss rate                        |     40.59% |     10.27% |     10.23% |     11.06%
    mpki                             |       8.31 |       0.86 |       0.86 |       0.94
  Cache L3                           |            |            |            |           
    num cache accesses               |      20220 |     188888 |     188248 |     249183
    num cache misses                 |      13179 |       2182 |       1924 |       2380
    miss rate                        |     65.18% |      1.16% |      1.02% |      0.96%
    mpki                             |       5.54 |       0.01 |       0.01 |       0.01
DRAM summary                         |            |            |            |           
  num dram accesses                  |      21584 |          0 |          0 |          0
  average dram access latency (ns)   |     251.64 |        inf |        inf |        inf
  average dram queueing delay        |     214.21 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |       9029 |        219 |        147 |        199
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
