                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |    2380509 |  219969289 |  219971040 |  263976654
  Cycles                             |  150962400 |  150962400 |  150962400 |  150962400
  IPC                                |       0.02 |       1.46 |       1.46 |       1.75
  Time (ns)                          |   41934000 |   41934000 |   41934000 |   41934000
  Idle time (ns)                     |   40883479 |    7736187 |    7746924 |    1051755
  Idle time (%)                      |      97.5% |      18.4% |      18.5% |       2.5%
Branch predictor stats               |            |            |            |           
  num correct                        |     323400 |   23521973 |   23522170 |   28229864
  num incorrect                      |      16477 |     710323 |     710350 |     852868
  misprediction rate                 |      4.85% |      2.93% |      2.93% |      2.93%
  mpki                               |       6.92 |       3.23 |       3.23 |       3.23
TLB Summary                          |            |            |            |           
  I-TLB                              |            |            |            |           
    num accesses                     |     202883 |   35371963 |   35372131 |   42446758
    num misses                       |        199 |         40 |         42 |         33
    miss rate                        |      0.10% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.08 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |           
    num accesses                     |     757538 |   83533183 |   83533890 |  100245010
    num misses                       |       2323 |       1990 |         91 |         57
    miss rate                        |      0.31% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.98 |       0.01 |       0.00 |       0.00
  L2 TLB                             |            |            |            |           
    num accesses                     |       2522 |       2030 |        133 |         90
    num misses                       |        531 |        116 |        118 |         90
    miss rate                        |     21.05% |      5.71% |     88.72% |    100.00%
    mpki                             |       0.22 |       0.00 |       0.00 |       0.00
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |     202883 |   35371963 |   35372131 |   42446758
    num cache misses                 |      27393 |     508936 |     509021 |     612370
    miss rate                        |     13.50% |      1.44% |      1.44% |      1.44%
    mpki                             |      11.51 |       2.31 |       2.31 |       2.32
  Cache L1-D                         |            |            |            |           
    num cache accesses               |     757538 |   83533183 |   83533890 |  100245010
    num cache misses                 |      20886 |    1326990 |    1328537 |    1636971
    miss rate                        |      2.76% |      1.59% |      1.59% |      1.63%
    mpki                             |       8.77 |       6.03 |       6.04 |       6.20
  Cache L2                           |            |            |            |           
    num cache accesses               |      48660 |    1836017 |    1837648 |    2249457
    num cache misses                 |      19701 |     149893 |     153804 |     169429
    miss rate                        |     40.49% |      8.16% |      8.37% |      7.53%
    mpki                             |       8.28 |       0.68 |       0.70 |       0.64
  Cache L3                           |            |            |            |           
    num cache accesses               |      20085 |     149988 |     153898 |     169549
    num cache misses                 |      12507 |       1981 |       2189 |       2284
    miss rate                        |     62.27% |      1.32% |      1.42% |      1.35%
    mpki                             |       5.25 |       0.01 |       0.01 |       0.01
DRAM summary                         |            |            |            |           
  num dram accesses                  |      18948 |          0 |          0 |          0
  average dram access latency (ns)   |     269.50 |        inf |        inf |        inf
  average dram queueing delay        |     216.07 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |       8574 |        153 |        190 |        184
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
