                                     | Core 0     | Core 1     | Core 2     | Core 3     
  Instructions                       |    2485460 |  878133884 |  878129798 |  1053719198
  Cycles                             |  675767160 |  675767160 |  675767160 |   675767160
  IPC                                |       0.00 |       1.30 |       1.30 |        1.56
  Time (ns)                          |  187713100 |  187713100 |  187713100 |   187713100
  Idle time (ns)                     |  186690136 |   28708281 |   28698936 |     1158522
  Idle time (%)                      |      99.5% |      15.3% |      15.3% |        0.6%
Branch predictor stats               |            |            |            |            
  num correct                        |     339067 |   93905378 |   93904925 |   112679634
  num incorrect                      |      17105 |    2834109 |    2834036 |     3399727
  misprediction rate                 |      4.80% |      2.93% |      2.93% |       2.93%
  mpki                               |       6.88 |       3.23 |       3.23 |        3.23
TLB Summary                          |            |            |            |            
  I-TLB                              |            |            |            |            
    num accesses                     |     218388 |  141206030 |  141205616 |   169442073
    num misses                       |        201 |         42 |         33 |          33
    miss rate                        |      0.09% |      0.00% |      0.00% |       0.00%
    mpki                             |       0.08 |       0.00 |       0.00 |        0.00
  D-TLB                              |            |            |            |            
    num accesses                     |     794170 |  333501263 |  333499511 |   400185282
    num misses                       |       2227 |        131 |         79 |          91
    miss rate                        |      0.28% |      0.00% |      0.00% |       0.00%
    mpki                             |       0.90 |       0.00 |       0.00 |        0.00
  L2 TLB                             |            |            |            |            
    num accesses                     |       2428 |        173 |        112 |         124
    num misses                       |        538 |        145 |        111 |         122
    miss rate                        |     22.16% |     83.82% |     99.11% |      98.39%
    mpki                             |       0.22 |       0.00 |       0.00 |        0.00
Cache Summary                        |            |            |            |            
  Cache L1-I                         |            |            |            |            
    num cache accesses               |     218388 |  141206030 |  141205616 |   169442073
    num cache misses                 |      33240 |    2022696 |    2022523 |     2423068
    miss rate                        |     15.22% |      1.43% |      1.43% |       1.43%
    mpki                             |      13.37 |       2.30 |       2.30 |        2.30
  Cache L1-D                         |            |            |            |            
    num cache accesses               |     794170 |  333501263 |  333499511 |   400185282
    num cache misses                 |      21223 |    5461844 |    5447395 |     6630771
    miss rate                        |      2.67% |      1.64% |      1.63% |       1.66%
    mpki                             |       8.54 |       6.22 |       6.20 |        6.29
  Cache L2                           |            |            |            |            
    num cache accesses               |      55010 |    7484748 |    7470121 |     9054082
    num cache misses                 |      20230 |     528892 |     532094 |      608614
    miss rate                        |     36.78% |      7.07% |      7.12% |       6.72%
    mpki                             |       8.14 |       0.60 |       0.61 |        0.58
  Cache L3                           |            |            |            |            
    num cache accesses               |      20780 |     529106 |     532303 |      608865
    num cache misses                 |      13582 |       4136 |       3777 |        4470
    miss rate                        |     65.36% |      0.78% |      0.71% |       0.73%
    mpki                             |       5.46 |       0.00 |       0.00 |        0.00
DRAM summary                         |            |            |            |            
  num dram accesses                  |      33192 |          0 |          0 |           0
  average dram access latency (ns)   |     297.64 |        inf |        inf |         inf
  average dram queueing delay        |     269.21 |       0.00 |       0.00 |        0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |       0.00%
Coherency Traffic                    |            |            |            |            
  num loads from dram                |       9202 |        495 |        350 |         437
  num loads from dram cache          |          0 |          0 |          0 |           0
  num loads from remote cache        |          0 |          0 |          0 |           0
