                                     | Core 0     | Core 1     | Core 2     | Core 3     
  Instructions                       |    2485436 |  878133182 |  878130513 |  1053719223
  Cycles                             |  595687680 |  595687680 |  595687680 |   595687680
  IPC                                |       0.00 |       1.47 |       1.47 |        1.77
  Time (ns)                          |  165468800 |  165468800 |  165468800 |   165468800
  Idle time (ns)                     |  164417186 |   28321768 |   28292625 |     1054976
  Idle time (%)                      |      99.4% |      17.1% |      17.1% |        0.6%
Branch predictor stats               |            |            |            |            
  num correct                        |     339114 |   93962864 |   93962565 |   112748842
  num incorrect                      |      17051 |    2776533 |    2776489 |     3330522
  misprediction rate                 |      4.79% |      2.87% |      2.87% |       2.87%
  mpki                               |       6.86 |       3.16 |       3.16 |        3.16
TLB Summary                          |            |            |            |            
  I-TLB                              |            |            |            |            
    num accesses                     |     218385 |  141205958 |  141205690 |   169442082
    num misses                       |        197 |         39 |         39 |          33
    miss rate                        |      0.09% |      0.00% |      0.00% |       0.00%
    mpki                             |       0.08 |       0.00 |       0.00 |        0.00
  D-TLB                              |            |            |            |            
    num accesses                     |     794251 |  333500927 |  333499852 |   400185285
    num misses                       |       3144 |        130 |       5734 |         110
    miss rate                        |      0.40% |      0.00% |      0.00% |       0.00%
    mpki                             |       1.26 |       0.00 |       0.01 |        0.00
  L2 TLB                             |            |            |            |            
    num accesses                     |       3341 |        169 |       5773 |         143
    num misses                       |        544 |        144 |        139 |         122
    miss rate                        |     16.28% |     85.21% |      2.41% |      85.31%
    mpki                             |       0.22 |       0.00 |       0.00 |        0.00
Cache Summary                        |            |            |            |            
  Cache L1-I                         |            |            |            |            
    num cache accesses               |     218385 |  141205958 |  141205690 |   169442082
    num cache misses                 |      33235 |    2022683 |    2022562 |     2423073
    miss rate                        |     15.22% |      1.43% |      1.43% |       1.43%
    mpki                             |      13.37 |       2.30 |       2.30 |        2.30
  Cache L1-D                         |            |            |            |            
    num cache accesses               |     794251 |  333500927 |  333499852 |   400185285
    num cache misses                 |      21140 |    5466659 |    5452922 |     6636852
    miss rate                        |      2.66% |      1.64% |      1.64% |       1.66%
    mpki                             |       8.51 |       6.23 |       6.21 |        6.30
  Cache L2                           |            |            |            |            
    num cache accesses               |      55125 |    7513828 |    7499372 |     9087540
    num cache misses                 |      19894 |     398650 |     410164 |      470892
    miss rate                        |     36.09% |      5.31% |      5.47% |       5.18%
    mpki                             |       8.00 |       0.45 |       0.47 |        0.45
DRAM summary                         |            |            |            |            
  num dram accesses                  |     237478 |     501564 |     651019 |      461149
  average dram access latency (ns)   |      25.44 |      24.71 |      25.26 |       25.01
  average dram queueing delay        |       2.01 |       1.28 |       1.83 |        1.58
  average dram bandwidth utilization |      1.00% |      2.00% |      3.00% |       2.00%
Coherency Traffic                    |            |            |            |            
  num loads from dram                |      13870 |     122004 |     123745 |      145221
  num loads from dram cache          |          0 |          0 |          0 |           0
  num loads from remote cache        |         12 |       3260 |       2859 |        4190
