                                     | Core 0     | Core 1     | Core 2     | Core 3     
  Instructions                       |    2485420 |  878131318 |  878132364 |  1053719198
  Cycles                             |  586238040 |  586238040 |  586238040 |   586238040
  IPC                                |       0.00 |       1.50 |       1.50 |        1.80
  Time (ns)                          |  162843900 |  162843900 |  162843900 |   162843900
  Idle time (ns)                     |  161848734 |   27826898 |   27929247 |      987114
  Idle time (%)                      |      99.4% |      17.1% |      17.2% |        0.6%
Branch predictor stats               |            |            |            |            
  num correct                        |     339031 |   93914141 |   93914280 |   112690293
  num incorrect                      |      17133 |    2825016 |    2825011 |     3389068
  misprediction rate                 |      4.81% |      2.92% |      2.92% |       2.92%
  mpki                               |       6.89 |       3.22 |       3.22 |        3.22
TLB Summary                          |            |            |            |            
  I-TLB                              |            |            |            |            
    num accesses                     |     218383 |  141205775 |  141205871 |   169442073
    num misses                       |        201 |         39 |         39 |          33
    miss rate                        |      0.09% |      0.00% |      0.00% |       0.00%
    mpki                             |       0.08 |       0.00 |       0.00 |        0.00
  D-TLB                              |            |            |            |            
    num accesses                     |     794154 |  333500201 |  333500573 |   400185282
    num misses                       |       2316 |       5106 |        114 |          90
    miss rate                        |      0.29% |      0.00% |      0.00% |       0.00%
    mpki                             |       0.93 |       0.01 |       0.00 |        0.00
  L2 TLB                             |            |            |            |            
    num accesses                     |       2517 |       5145 |        153 |         123
    num misses                       |        545 |        142 |        144 |         122
    miss rate                        |     21.65% |      2.76% |     94.12% |      99.19%
    mpki                             |       0.22 |       0.00 |       0.00 |        0.00
Cache Summary                        |            |            |            |            
  Cache L1-I                         |            |            |            |            
    num cache accesses               |     218383 |  141205775 |  141205871 |   169442073
    num cache misses                 |      33256 |    2022596 |    2022632 |     2423068
    miss rate                        |     15.23% |      1.43% |      1.43% |       1.43%
    mpki                             |      13.38 |       2.30 |       2.30 |        2.30
  Cache L1-D                         |            |            |            |            
    num cache accesses               |     794154 |  333500201 |  333500573 |   400185282
    num cache misses                 |      21232 |    5466398 |    5452193 |     6636401
    miss rate                        |      2.67% |      1.64% |      1.63% |       1.66%
    mpki                             |       8.54 |       6.23 |       6.21 |        6.30
  Cache L2                           |            |            |            |            
    num cache accesses               |      55033 |    7489193 |    7475028 |     9059708
    num cache misses                 |      20285 |     765963 |     789141 |      932901
    miss rate                        |     36.86% |     10.23% |     10.56% |      10.30%
    mpki                             |       8.16 |       0.87 |       0.90 |        0.89
  Cache L3                           |            |            |            |            
    num cache accesses               |      20833 |     766167 |     789351 |      933147
    num cache misses                 |      13590 |       3746 |       4133 |        4441
    miss rate                        |     65.23% |      0.49% |      0.52% |       0.48%
    mpki                             |       5.47 |       0.00 |       0.00 |        0.00
DRAM summary                         |            |            |            |            
  num dram accesses                  |      33081 |          0 |          0 |           0
  average dram access latency (ns)   |     281.26 |        inf |        inf |         inf
  average dram queueing delay        |     257.83 |       0.00 |       0.00 |        0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |       0.00%
Coherency Traffic                    |            |            |            |            
  num loads from dram                |       9209 |        360 |        479 |         432
  num loads from dram cache          |          0 |          0 |          0 |           0
  num loads from remote cache        |          0 |          0 |          0 |           0
