                                     | Core 0     | Core 1     | Core 2     | Core 3     
  Instructions                       |    2485422 |  878131309 |  878132373 |  1053719198
  Cycles                             |  583453440 |  583453440 |  583453440 |   583453440
  IPC                                |       0.00 |       1.51 |       1.51 |        1.81
  Time (ns)                          |  162070400 |  162070400 |  162070400 |   162070400
  Idle time (ns)                     |  160983342 |   27801046 |   27844715 |     1085396
  Idle time (%)                      |      99.3% |      17.2% |      17.2% |        0.7%
Branch predictor stats               |            |            |            |            
  num correct                        |     339007 |   93893430 |   93893546 |   112665683
  num incorrect                      |      17158 |    2845726 |    2845746 |     3413678
  misprediction rate                 |      4.82% |      2.94% |      2.94% |       2.94%
  mpki                               |       6.90 |       3.24 |       3.24 |        3.24
TLB Summary                          |            |            |            |            
  I-TLB                              |            |            |            |            
    num accesses                     |     218383 |  141205771 |  141205875 |   169442073
    num misses                       |        201 |         40 |         40 |          33
    miss rate                        |      0.09% |      0.00% |      0.00% |       0.00%
    mpki                             |       0.08 |       0.00 |       0.00 |        0.00
  D-TLB                              |            |            |            |            
    num accesses                     |     794154 |  333500200 |  333500574 |   400185282
    num misses                       |       2634 |        104 |       2118 |          90
    miss rate                        |      0.33% |      0.00% |      0.00% |       0.00%
    mpki                             |       1.06 |       0.00 |       0.00 |        0.00
  L2 TLB                             |            |            |            |            
    num accesses                     |       2835 |        144 |       2158 |         123
    num misses                       |        539 |        142 |        144 |         122
    miss rate                        |     19.01% |     98.61% |      6.67% |      99.19%
    mpki                             |       0.22 |       0.00 |       0.00 |        0.00
Cache Summary                        |            |            |            |            
  Cache L1-I                         |            |            |            |            
    num cache accesses               |     218383 |  141205771 |  141205875 |   169442073
    num cache misses                 |      33239 |    2022590 |    2022633 |     2423070
    miss rate                        |     15.22% |      1.43% |      1.43% |       1.43%
    mpki                             |      13.37 |       2.30 |       2.30 |        2.30
  Cache L1-D                         |            |            |            |            
    num cache accesses               |     794154 |  333500200 |  333500574 |   400185282
    num cache misses                 |      21195 |    5463297 |    5449094 |     6632348
    miss rate                        |      2.67% |      1.64% |      1.63% |       1.66%
    mpki                             |       8.53 |       6.22 |       6.21 |        6.29
  Cache L2                           |            |            |            |            
    num cache accesses               |      54983 |    7486086 |    7471927 |     9055655
    num cache misses                 |      20213 |     470726 |     490097 |      567949
    miss rate                        |     36.76% |      6.29% |      6.56% |       6.27%
    mpki                             |       8.13 |       0.54 |       0.56 |        0.54
  Cache L3                           |            |            |            |            
    num cache accesses               |      20764 |     470930 |     490301 |      568194
    num cache misses                 |      13586 |       3743 |       3917 |        4646
    miss rate                        |     65.43% |      0.79% |      0.80% |       0.82%
    mpki                             |       5.47 |       0.00 |       0.00 |        0.00
DRAM summary                         |            |            |            |            
  num dram accesses                  |      33056 |          0 |          0 |           0
  average dram access latency (ns)   |     309.17 |        inf |        inf |         inf
  average dram queueing delay        |     271.74 |       0.00 |       0.00 |        0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |       0.00%
Coherency Traffic                    |            |            |            |            
  num loads from dram                |       9212 |        370 |        456 |         467
  num loads from dram cache          |          0 |          0 |          0 |           0
  num loads from remote cache        |          0 |          0 |          0 |           0
