                                     | Core 0     | Core 1     | Core 2     | Core 3     
  Instructions                       |    2485451 |  878133167 |  878130497 |  1053719253
  Cycles                             |  702180360 |  702180360 |  702180360 |   702180360
  IPC                                |       0.00 |       1.25 |       1.25 |        1.50
  Time (ns)                          |  195050100 |  195050100 |  195050100 |   195050100
  Idle time (ns)                     |  193635653 |   33333584 |   33057474 |     1412823
  Idle time (%)                      |      99.3% |      17.1% |      16.9% |        0.7%
Branch predictor stats               |            |            |            |            
  num correct                        |     339001 |   93892793 |   93892500 |   112664934
  num incorrect                      |      17169 |    2846600 |    2846552 |     3414433
  misprediction rate                 |      4.82% |      2.94% |      2.94% |       2.94%
  mpki                               |       6.91 |       3.24 |       3.24 |        3.24
TLB Summary                          |            |            |            |            
  I-TLB                              |            |            |            |            
    num accesses                     |     218388 |  141205953 |  141205685 |   169442086
    num misses                       |        200 |         39 |         39 |          34
    miss rate                        |      0.09% |      0.00% |      0.00% |       0.00%
    mpki                             |       0.08 |       0.00 |       0.00 |        0.00
  D-TLB                              |            |            |            |            
    num accesses                     |     794177 |  333500921 |  333499850 |   400185292
    num misses                       |       2493 |      22657 |      23068 |       21683
    miss rate                        |      0.31% |      0.01% |      0.01% |       0.01%
    mpki                             |       1.00 |       0.03 |       0.03 |        0.02
  L2 TLB                             |            |            |            |            
    num accesses                     |       2693 |      22696 |      23107 |       21717
    num misses                       |        546 |        145 |        139 |         124
    miss rate                        |     20.27% |      0.64% |      0.60% |       0.57%
    mpki                             |       0.22 |       0.00 |       0.00 |        0.00
Cache Summary                        |            |            |            |            
  Cache L1-I                         |            |            |            |            
    num cache accesses               |     218388 |  141205953 |  141205685 |   169442086
    num cache misses                 |      33228 |    2022681 |    2022558 |     2423075
    miss rate                        |     15.22% |      1.43% |      1.43% |       1.43%
    mpki                             |      13.37 |       2.30 |       2.30 |        2.30
  Cache L1-D                         |            |            |            |            
    num cache accesses               |     794177 |  333500921 |  333499850 |   400185292
    num cache misses                 |      21156 |    5472754 |    5458399 |     6643906
    miss rate                        |      2.66% |      1.64% |      1.64% |       1.66%
    mpki                             |       8.51 |       6.23 |       6.22 |        6.31
  Cache L2                           |            |            |            |            
    num cache accesses               |      55130 |    7530476 |    7516018 |     9106429
    num cache misses                 |      19935 |     772811 |     795786 |      940858
    miss rate                        |     36.16% |     10.26% |     10.59% |      10.33%
    mpki                             |       8.02 |       0.88 |       0.91 |        0.89
DRAM summary                         |            |            |            |            
  num dram accesses                  |    3635453 |          0 |          0 |           0
  average dram access latency (ns)   |      73.04 |        inf |        inf |         inf
  average dram queueing delay        |      19.61 |       0.00 |       0.00 |        0.00
  average dram bandwidth utilization |     15.00% |      0.00% |      0.00% |       0.00%
Coherency Traffic                    |            |            |            |            
  num loads from dram                |      13933 |     209996 |     218153 |      261510
  num loads from dram cache          |          0 |          0 |          0 |           0
  num loads from remote cache        |          9 |       3404 |       3251 |        3357
