                                     | Core 0     | Core 1     | Core 2     | Core 3     
  Instructions                       |    2485466 |  878133884 |  878130497 |  1053719214
  Cycles                             |  579696120 |  579696120 |  579696120 |   579696120
  IPC                                |       0.00 |       1.51 |       1.51 |        1.82
  Time (ns)                          |  161026700 |  161026700 |  161026700 |   161026700
  Idle time (ns)                     |  159855905 |   27744671 |   27690792 |     1174557
  Idle time (%)                      |      99.3% |      17.2% |      17.2% |        0.7%
Branch predictor stats               |            |            |            |            
  num correct                        |     339028 |   93950393 |   93950017 |   112733938
  num incorrect                      |      17145 |    2789094 |    2789035 |     3345425
  misprediction rate                 |      4.81% |      2.88% |      2.88% |       2.88%
  mpki                               |       6.90 |       3.18 |       3.18 |        3.17
TLB Summary                          |            |            |            |            
  I-TLB                              |            |            |            |            
    num accesses                     |     218388 |  141206030 |  141205685 |   169442078
    num misses                       |        204 |         39 |         39 |          33
    miss rate                        |      0.09% |      0.00% |      0.00% |       0.00%
    mpki                             |       0.08 |       0.00 |       0.00 |        0.00
  D-TLB                              |            |            |            |            
    num accesses                     |     794179 |  333501263 |  333499850 |   400185284
    num misses                       |       2994 |       2022 |        102 |          92
    miss rate                        |      0.38% |      0.00% |      0.00% |       0.00%
    mpki                             |       1.20 |       0.00 |       0.00 |        0.00
  L2 TLB                             |            |            |            |            
    num accesses                     |       3198 |       2061 |        141 |         125
    num misses                       |        544 |        145 |        139 |         122
    miss rate                        |     17.01% |      7.04% |     98.58% |      97.60%
    mpki                             |       0.22 |       0.00 |       0.00 |        0.00
Cache Summary                        |            |            |            |            
  Cache L1-I                         |            |            |            |            
    num cache accesses               |     218388 |  141206030 |  141205685 |   169442078
    num cache misses                 |      33247 |    2022697 |    2022558 |     2423071
    miss rate                        |     15.22% |      1.43% |      1.43% |       1.43%
    mpki                             |      13.38 |       2.30 |       2.30 |        2.30
  Cache L1-D                         |            |            |            |            
    num cache accesses               |     794179 |  333501263 |  333499850 |   400185284
    num cache misses                 |      21158 |    5463546 |    5449171 |     6631851
    miss rate                        |      2.66% |      1.64% |      1.63% |       1.66%
    mpki                             |       8.51 |       6.22 |       6.21 |        6.29
  Cache L2                           |            |            |            |            
    num cache accesses               |      54838 |    7486436 |    7471921 |     9055153
    num cache misses                 |      19901 |     398517 |     390923 |      483039
    miss rate                        |     36.29% |      5.32% |      5.23% |       5.33%
    mpki                             |       8.01 |       0.45 |       0.45 |        0.46
  Cache L3                           |            |            |            |            
    num cache accesses               |      20334 |     398712 |     391117 |      483272
    num cache misses                 |      12635 |       3678 |       3818 |        4299
    miss rate                        |     62.14% |      0.92% |      0.98% |       0.89%
    mpki                             |       5.08 |       0.00 |       0.00 |        0.00
DRAM summary                         |            |            |            |            
  num dram accesses                  |      24410 |          0 |          0 |           0
  average dram access latency (ns)   |     270.20 |        inf |        inf |         inf
  average dram queueing delay        |     216.77 |       0.00 |       0.00 |        0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |       0.00%
Coherency Traffic                    |            |            |            |            
  num loads from dram                |       8600 |        308 |        334 |         361
  num loads from dram cache          |          0 |          0 |          0 |           0
  num loads from remote cache        |          0 |          0 |          0 |           0
